# Constructed from biom file
#OTU ID	SRR6056615.fastq	SRR6056616.fastq	SRR6056618.fastq	SRR6056619.fastq	SRR6056620.fastq	SRR6056621.fastq	SRR6056622.fastq	SRR6056624.fastq	SRR6056625.fastq	SRR6056648.fastq	SRR6056667.fastq	SRR6056668.fastq	SRR6056669.fastq	SRR6056670.fastq	SRR6056671.fastq	SRR6056672.fastq	SRR6056673.fastq	SRR6056674.fastq	SRR6056675.fastq	SRR6056676.fastq
2bc14dc98c1e2252593c4a8cc6aca7e3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
45762be38944f490e92ea6c71ff6923d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	5.0	0.0	0.0	21.0	0.0	4.0	0.0	0.0
f846a5881d1e2f64cf5adb00094d6411	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f2bb0fbda46a968a3d9bc21acaf6ce25	0.0	0.0	3.0	18.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	9.0	0.0	8.0	43.0	0.0
7524a481de0f4814e5bbc7997f7056ba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3aeef6f28d3085410bf9953d4c2e2f70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f23db8bcdfee9450de0274c1cfe1a241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
21478a01dbb95de4c74cf63a0701e0cf	53.0	0.0	17.0	2.0	6.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	13.0	2.0	0.0	0.0	0.0	24.0	0.0	0.0
b135fb32888eaf1756f4da84347e6d66	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7a263acec6a590656d34e9abbf259b58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
d93798660d20cf4a1b0a30e605bfcdc8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b976b5c2e338f7e9dbd1307fe5f41b62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
948d4ca4137d23990edff460a96ae945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13f36235007da2e0e31f66e32fc95929	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9235f239f1b923195438dcc7a847f2aa	46.0	30.0	80.0	106.0	100.0	29.0	54.0	36.0	47.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	18.0	6.0	0.0
5bc48396869e8223a48a7458f0b94fa9	225.0	173.0	273.0	468.0	650.0	142.0	197.0	255.0	299.0	719.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	31.0
